word1,word2,word3,first_word_score,second_word_score,first_word_score,score
coils,dares,bunts,2471.5,2862.5,2055.0,6403.8
coals,dries,bunts,2612.25,2721.0,2055.0,6403.150000000001
blues,coins,darts,2510.5,2431.5,2425.25,6384.95
clans,dries,bouts,2402.5,2721.0,2243.0,6384.3
coils,dates,burns,2471.5,2758.75,2121.25,6371.3
cores,dials,bunts,2910.25,2374.25,2055.0,6360.900000000001
crits,dales,bonus,2390.75,2786.0,2153.75,6353.099999999999
crits,dales,boney,2390.75,2786.0,2145.5,6345.95
canes,dolts,brims,2866.5,2289.5,2164.75,6344.650000000001
banes,colts,drips,2807.0,2396.5,2114.0,6341.833333333333
bouts,canes,drily,2243.0,2866.5,1684.75,6341.3
banes,colts,dries,2807.0,2396.5,2721.0,6339.599999999999
bares,dolts,chins,2910.0,2289.5,2114.5,6338.8
brats,doles,chins,2472.0,2726.75,2114.5,6338.150000000001
crits,dales,bonks,2390.75,2786.0,2133.75,6335.766666666666
boles,crits,damns,2774.25,2390.75,2145.25,6335.55
cores,daily,bunts,2910.25,1821.5,2055.0,6334.3
boney,crits,duals,2145.5,2390.75,2249.75,6333.599999999999
bales,crits,dongs,2833.5,2390.75,2079.5,6329.916666666667
bites,corns,duals,2616.0,2436.25,2249.75,6328.400000000001
cones,darts,blips,2807.25,2425.25,2069.25,6328.183333333333
cones,dares,built,2807.25,2862.5,1631.75,6327.966666666666
bales,count,dries,2833.5,1741.0,2721.0,6322.766666666666
clans,domes,brits,2402.5,2560.0,2331.25,6321.25
clans,dopes,brits,2402.5,2552.25,2331.25,6314.533333333334
clans,doges,brits,2402.5,2552.0,2331.25,6314.316666666667
coins,darts,bluey,2431.5,2425.25,1908.25,6314.0
briny,coles,dates,1692.25,2833.75,2758.75,6313.45
carts,dines,bolus,2532.25,2569.25,2180.25,6310.849999999999
coins,dates,blurs,2431.5,2758.75,2090.75,6310.2
boars,dines,cults,2567.0,2569.25,2141.0,6306.95
bales,cones,dirty,2833.5,2807.25,1632.75,6303.7
crams,dines,bolts,2365.0,2569.25,2337.0,6301.75
bares,colts,dines,2910.0,2396.5,2569.25,6300.599999999999
brats,coles,dines,2472.0,2833.75,2569.25,6300.0
coats,dines,blurs,2609.0,2569.25,2090.75,6299.8
carps,dines,bolts,2362.5,2569.25,2337.0,6299.583333333333
coins,dates,burly,2431.5,2758.75,1559.0,6299.3
craps,dines,bolts,2361.75,2569.25,2337.0,6298.933333333333
clans,dotes,brims,2402.5,2699.5,2164.75,6297.849999999999
corns,dates,blips,2436.25,2758.75,2069.25,6295.683333333333
brans,dotes,clips,2435.25,2699.5,2128.75,6295.033333333334
bares,colts,dinks,2910.0,2396.5,1955.25,6293.516666666666
colts,fries,bands,2396.5,2558.25,2306.75,6293.3
barns,dimes,colts,2436.0,2429.0,2396.5,6293.3
brats,coles,dinks,2472.0,2833.75,1955.25,6292.866666666667
brans,dimes,colts,2435.25,2429.0,2396.5,6292.650000000001
bones,dials,cruet,2747.75,2374.25,2137.5,6291.566666666667
colas,dries,bunts,2481.0,2721.0,2055.0,6289.400000000001
coats,dines,burly,2609.0,2569.25,1559.0,6288.099999999999
