word1,word2,first_word_score,second_word_score,score
bails,cored,2471.25,2378.0,4849.25
baits,cored,2468.0,2378.0,4846.0
boats,cried,2549.5,2295.75,4845.25
bails,cores,2471.25,2910.25,4843.349999999999
baits,cores,2468.0,2910.25,4840.425
boats,cries,2549.5,2828.0,4839.75
bared,coins,2377.75,2431.5,4809.25
bares,coins,2910.0,2431.5,4807.349999999999
coils,dares,2471.5,2862.5,4800.599999999999
coals,dries,2612.25,2721.0,4799.925
coats,dries,2609.0,2721.0,4797.0
bares,colts,2910.0,2396.5,4775.849999999999
brats,coles,2472.0,2833.75,4775.175
boils,cater,2412.0,2363.0,4775.0
bared,colts,2377.75,2396.5,4774.25
baits,coles,2468.0,2833.75,4771.575
coins,dares,2431.5,2862.5,4764.599999999999
baler,coins,2330.75,2431.5,4762.25
cores,dials,2910.25,2374.25,4756.05
bones,carts,2747.75,2532.25,4752.0
brats,cones,2472.0,2807.25,4751.325
bails,cones,2471.25,2807.25,4750.650000000001
boned,carts,2215.5,2532.25,4747.75
baits,cones,2468.0,2807.25,4747.724999999999
boils,dares,2412.0,2862.5,4747.05
brats,coned,2472.0,2275.0,4747.0
bails,coned,2471.25,2275.0,4746.25
bated,coils,2274.0,2471.5,4745.5
boats,dries,2549.5,2721.0,4743.45
baits,coned,2468.0,2275.0,4743.0
bales,corns,2833.5,2436.25,4742.775000000001
brans,coles,2435.25,2833.75,4742.099999999999
bales,coins,2833.5,2431.5,4738.5
braid,coles,1904.5,2833.75,4738.25
baled,corns,2301.25,2436.25,4737.5
bails,coder,2471.25,2265.5,4736.75
brand,coles,1903.0,2833.75,4736.75
baits,coder,2468.0,2265.5,4733.5
cares,dolts,2969.5,2289.5,4733.099999999999
baled,coins,2301.25,2431.5,4732.75
cores,daily,2910.25,1821.5,4731.75
bores,clans,2850.75,2402.5,4727.925
coils,dater,2471.5,2256.0,4727.5
biles,coats,2643.25,2609.0,4727.025000000001
biter,coals,2113.25,2612.25,4725.5
bolas,cries,2421.5,2828.0,4724.55
bland,cores,1810.75,2910.25,4721.0
bales,cords,2833.5,2410.0,4719.150000000001
brads,coles,2409.0,2833.75,4718.474999999999
boars,cites,2567.0,2675.5,4718.25
