word,score
slate,2160.0
stare,2121.75
saner,2093.0
snare,2090.75
share,2087.0
stale,2084.25
crate,2080.5
crane,2074.25
arose,2068.75
saute,2067.75
raise,2065.25
arise,2064.5
trace,2053.5
shale,2049.5
scare,2031.0
spare,2019.25
store,2018.25
sauce,2014.5
irate,2006.0
slice,1999.0
scale,1993.5
snore,1987.25
shore,1983.5
stole,1980.75
shire,1979.25
suite,1978.0
grate,1976.75
teary,1976.75
crone,1970.75
blare,1970.5
trade,1970.25
stone,1959.75
brace,1959.5
alone,1959.0
slave,1946.25
trice,1945.75
parse,1939.75
cater,1936.5
glare,1934.5
saint,1934.0
flare,1930.0
score,1927.5
shone,1925.0
grace,1923.5
safer,1921.25
shine,1920.75
stage,1917.75
plate,1916.5
prose,1916.5
slide,1915.75
